丁	述义不克\n迷而不悌
丑	怙威肆行
享	祀
使	治民克尽
侯	执应八方
僖	有过
元	主义行德\n始建国都\n能思辩众\n行义说民
克	爱民在刑
公	立制及众
典	常
刚	强毅果敢\n追补前过
刺	不思忘爱\n愎狠遂过
勇	胜敌壮志
勤	劳
匡	贞心大度
厉	杀戮无辜
厘	有伐而还\n质渊受谏
发	刚克
君	从之成群\n赏庆刑威
周	至
和	会
哀	恭仁短折\n蚤孤短折
商	昭功宁民
圉	威德刚武
圣	敬宾厚礼\n称善赋简
坚	彰义掩过\n长
声	不生其国
夷	克杀秉政\n安心好静
夸	华言无实
威	强毅信正\n猛以刚果\n猛以强果
孝	五宗安之\n协时肇享\n慈惠爱亲\n秉德不回
安	好和不争
定	大虑静民\n安民大虑\n安民法古\n纯行不二
宣	圣善周闻\n施而不成
宪	博闻多能
寒	过
就	会
布	施
帝	德象天地
平	布纲治纪\n惠无内德\n执事有制\n治而无眚
幽	动祭乱常\n壅遏不通\n蚤孤铺位
庄	兵甲亟作\n屡征杀伐\n履正\n武而不遂\n死于原野\n澼圉克服\n胜敌志强
度	心能制义
康	丰年好乐\n令民安乐\n安\n安乐抚民
式	法
弥	久
德	谏争不威
忠	危身奉上
怀	思\n慈仁短折\n执义扬善
怙	恃
思	外内思索\n大省兆民\n追悔前过\n道德纯一
恭	尊贤敬让\n尊贤让善\n尊贤贵义\n执事坚固\n执礼御宾\n敬事供上\n既过能改\n渊源流通\n爱民长弟\n芘亲之阙
悫	行见中外
悼	年中早夭\n恐惧从处\n肆行劳祀
惠	柔质慈民\n爱\n爱民好与
愍	使民折伤\n在国连忧\n在国逢难\n祸乱方作
感	满志多穷
愿	思厚不爽
慧	柔质受谏
憹	治
懿	柔克\n温柔圣善
成	安民立政
戴	典礼不寒\n爱民好治
戾	不悔前过
抗	逆天虐民
捷	克
携	息政外交
敏	疾
敬	善合法典\n夙夜恭事\n夙夜警戒\n象方益平
文	学勤好问\n愍民惠礼\n慈惠爱民\n施\n经纬天地\n道德博闻\n锡民爵位
明	照临四方\n谮诉不行
易	好更改旧
昭	圣闻周达\n容仪恭美\n昭德有劳
景	布义行刚\n由义而济\n耆意大虑
服	败
桓	克敬勤民\n服远\n辟土兼国\n辟土服远
正	内外宾服
武	克定祸乱\n刑民克服\n刚强理直\n夸志多穷\n威强澼德\n除
殇	未家短折\n短折不成
比	择善而从
澼	圣
灵	不勤成名\n乱而不损\n好祭鬼神\n极知鬼神\n死而志成\n死见神能
炀	去礼远众\n好内怠政\n好内远礼
烈	有功安民\n秉德遵业
爽	伤
献	聪明澼哲
王	仁义所在
白	外内贞复
皇	静民则法
直	肇敏行成
知	官人应实
神	民无能名
秉	顺
穅	虚
穆	中情见貌\n布德执以
简	壹德不解\n平易不疵
类	勤施无私
糠	凶年无谷
绍	疏远继位
绥	安
缪	名与实爽
翼	刚克为伐\n思虑深远
考	大虑行节\n成
耆	强
肃	执心决断
肆	放
肇	始
胡	保民耆艾\n大\n弥年寿考
良	温良好乐
节	好廉自克
荒	外内从乱\n好乐怠政
莫	德正应和
襄	甲胄有劳\n辟地\n辟地有德
誉	状古述今
贞	不隐无屈\n大虑克就\n清白守节
质	名实不爽
赶	果虑果远
躁	好变动民
载	事
遵	循
钦	威仪悉备
锡	与
长	教诲不倦
隐	不显尸国\n隐拂不成
静	宽乐令终\n恭己鲜言\n柔德考众
顷	敏以敬顺\n甄心动惧
顺	慈和便服
魏	克威惠礼\n克威捷行
齐	执心克庄\n资辅供就
